Kmeans Type, K Clusters (Data clusters is 4), Points Used 20/80, Points Used Post 20/80, 20/80 Test Correct, Post 20/80 Correct, 20/80 Train Adjusted Rand Score, 20/80 Train Calinski Score, 20/80 Test Adjusted Rand Score, 20/80 Test Calinski Score
hard, 4, 225, 500, 1.0, 1.0, 1.0, 18987.08632221075, 1.0, 18987.08632221075
soft, 4, 225, 500, 0.7377049180327869, 0.6657789613848203, 0.6965420200299219, 1199.0603183808603, 0.8513066987083208, 1199.0603183808603
hard, 4, 250, 500, 1.0, 1.0, 1.0, 23724.452871857917, 1.0, 23724.452871857917
soft, 4, 250, 500, 0.7142857142857143, 0.6622516556291391, 0.7090617081463451, 1457.4512843928655, 0.8250892401835799, 1457.4512843928655
hard, 4, 250, 500, 1.0, 1.0, 1.0, 22695.040044527424, 1.0, 22695.040044527424
soft, 4, 250, 500, 0.704225352112676, 0.6622516556291391, 0.7145009154288093, 1440.2871831191098, 0.8096299796706067, 1440.2871831191098
hard, 4, 250, 500, 1.0, 1.0, 1.0, 23742.32303966377, 1.0, 23742.32303966377
soft, 4, 250, 500, 0.6172839506172839, 0.6622516556291391, 0.7606468804844131, 1720.2835544168854, 0.5964642582628747, 1720.2835544168854
hard, 4, 250, 500, 1.0, 1.0, 1.0, 22353.497327935693, 1.0, 22353.497327935693
soft, 4, 250, 500, 0.6944444444444444, 0.6622516556291391, 0.7177883478804902, 1472.8325042346644, 0.771820895522388, 1472.8325042346644
hard, 4, 250, 500, 1.0, 1.0, 1.0, 23914.79063720076, 1.0, 23914.79063720076
soft, 4, 250, 500, 0.6756756756756757, 0.6622516556291391, 0.7267701708693367, 1574.8815150083835, 0.7549693711713964, 1574.8815150083835
hard, 4, 275, 500, 1.0, 1.0, 1.0, 26996.5754992304, 1.0, 26996.5754992304
soft, 4, 275, 500, 0.6875, 0.6640106241699867, 0.7118930404859061, 1640.4810932411942, 0.748730964467005, 1640.4810932411942
hard, 4, 275, 500, 1.0, 1.0, 1.0, 24672.027587111057, 1.0, 24672.027587111057
soft, 4, 275, 500, 0.7534246575342466, 0.6640106241699867, 0.6815288994760975, 1452.1230059451057, 0.8767792889633167, 1452.1230059451057
hard, 4, 275, 500, 1.0, 1.0, 1.0, 26259.914039555875, 1.0, 26259.914039555875
soft, 4, 275, 500, 0.6547619047619048, 0.6640106241699867, 0.7310753453728112, 1714.2344664271725, 0.6871411221362063, 1714.2344664271725
hard, 4, 275, 500, 1.0, 1.0, 1.0, 27046.470585029994, 1.0, 27046.470585029994
soft, 4, 275, 500, 0.6547619047619048, 0.6640106241699867, 0.7296865721112017, 1743.5376110948685, 0.6772333876366466, 1743.5376110948685
hard, 4, 275, 500, 1.0, 1.0, 1.0, 24747.43105228202, 1.0, 24747.43105228202
soft, 4, 275, 500, 0.6875, 0.6640106241699867, 0.7116487163293874, 1635.9794499906309, 0.7490684575389949, 1635.9794499906309
hard, 4, 300, 500, 1.0, 1.0, 1.0, 29486.270308158022, 1.0, 29486.270308158022
soft, 4, 300, 500, 0.6896551724137931, 0.6596306068601583, 0.7217248036340311, 1838.1669956833775, 0.759491119224136, 1838.1669956833775
hard, 4, 300, 500, 1.0, 1.0, 1.0, 29348.52855484524, 1.0, 29348.52855484524
soft, 4, 300, 500, 0.7142857142857143, 0.6596306068601583, 0.7078316501787784, 1790.9772562927503, 0.8394791512659221, 1790.9772562927503
hard, 4, 300, 500, 1.0, 1.0, 1.0, 28543.75982945372, 1.0, 28543.75982945372
soft, 4, 300, 500, 0.6451612903225806, 0.6596306068601583, 0.746755756117628, 1924.7195473827696, 0.6572331058740162, 1924.7195473827696
