dataGeneratedCentroids, kmeansClusters, standardDeviation, pointsTrain, pointsTest, pointsTotal, trainAdjustedRand, trainCalinski, testAdjustedRand, testAdjustedRandRank, testAdjustedRandRankMatchesDataCentroidCount, testCalinski, testCalinskiRank, testCalinskiRankMatchesDataCentroidCount
4, 10, 0.5, 65, 260, 325, 0.41614813327980726, 58.39483277220015, 0.41614813327980726, 8, False, 58.39483277220015, 3, False
4, 2, 0.5, 70, 280, 350, 0.38190469094717144, 48.70932686966017, 0.38190469094717144, 9, False, 48.70932686966017, 9, False
4, 3, 0.5, 70, 280, 350, 0.5176522611809709, 55.79058190989336, 0.5176522611809709, 4, False, 55.79058190989336, 8, False
4, 4, 0.5, 70, 280, 350, 0.819752243300885, 65.96230874510715, 0.819752243300885, 1, True, 65.96230874510715, 1, True
4, 5, 0.5, 70, 280, 350, 0.6940637547288044, 62.81245632942363, 0.6940637547288044, 2, False, 62.81245632942363, 4, False
4, 6, 0.5, 70, 280, 350, 0.620997728007057, 62.34754948575069, 0.620997728007057, 3, False, 62.34754948575069, 6, False
4, 7, 0.5, 70, 280, 350, 0.5070634366439276, 64.6379381249746, 0.5070634366439276, 5, False, 64.6379381249746, 2, False
4, 8, 0.5, 70, 280, 350, 0.47518341141098186, 63.28421373290744, 0.47518341141098186, 6, False, 63.28421373290744, 3, False
4, 9, 0.5, 70, 280, 350, 0.4171037354366017, 60.42156972418731, 0.4171037354366017, 7, False, 60.42156972418731, 7, False
4, 10, 0.5, 70, 280, 350, 0.4058826368925105, 62.47945629427873, 0.4058826368925105, 8, False, 62.47945629427873, 5, False
4, 2, 0.5, 75, 300, 375, 0.36638441753605183, 50.417948890620316, 0.36638441753605183, 9, False, 50.417948890620316, 9, False
4, 3, 0.5, 75, 300, 375, 0.5176625720036089, 62.08011830502082, 0.5176625720036089, 3, False, 62.08011830502082, 8, False
4, 4, 0.5, 75, 300, 375, 0.7576245240805433, 72.66301313919651, 0.7576245240805433, 1, True, 72.66301313919651, 1, True
4, 5, 0.5, 75, 300, 375, 0.6462989542751691, 69.2076208075858, 0.6462989542751691, 2, False, 69.2076208075858, 3, False
4, 6, 0.5, 75, 300, 375, 0.503452391100503, 67.39658738697051, 0.503452391100503, 4, False, 67.39658738697051, 5, False
4, 7, 0.5, 75, 300, 375, 0.4946383755418663, 69.35830384744507, 0.4946383755418663, 5, False, 69.35830384744507, 2, False
4, 8, 0.5, 75, 300, 375, 0.4107192966046207, 66.18075062123293, 0.4107192966046207, 8, False, 66.18075062123293, 7, False
4, 9, 0.5, 75, 300, 375, 0.4415706560075241, 67.2489523347309, 0.4415706560075241, 6, False, 67.2489523347309, 6, False
4, 10, 0.5, 75, 300, 375, 0.41414885777450255, 68.19554975555764, 0.41414885777450255, 7, False, 68.19554975555764, 4, False
4, 2, 0.5, 80, 320, 400, 0.3730511622671245, 49.645640607509414, 0.3730511622671245, 7, False, 49.645640607509414, 9, False
4, 3, 0.5, 80, 320, 400, 0.5007560190749428, 63.6506654221657, 0.5007560190749428, 4, False, 63.6506654221657, 8, False
4, 4, 0.5, 80, 320, 400, 0.7715791426171018, 77.81690719176599, 0.7715791426171018, 1, True, 77.81690719176599, 1, True
4, 5, 0.5, 80, 320, 400, 0.7234774923540288, 71.44484177289833, 0.7234774923540288, 2, False, 71.44484177289833, 2, False
4, 6, 0.5, 80, 320, 400, 0.610053780604602, 69.5307288057989, 0.610053780604602, 3, False, 69.5307288057989, 5, False
4, 7, 0.5, 80, 320, 400, 0.4996650022122495, 69.54178115241717, 0.4996650022122495, 5, False, 69.54178115241717, 4, False
4, 8, 0.5, 80, 320, 400, 0.4017845322883847, 68.66818653089608, 0.4017845322883847, 6, False, 68.66818653089608, 6, False
4, 9, 0.5, 80, 320, 400, 0.3500358006511665, 67.87324729024675, 0.3500358006511665, 8, False, 67.87324729024675, 7, False
4, 10, 0.5, 80, 320, 400, 0.34781897937498296, 69.5865637077864, 0.34781897937498296, 9, False, 69.5865637077864, 3, False
4, 2, 0.5, 85, 340, 425, 0.3816238043226426, 56.067799475139104, 0.3816238043226426, 7, False, 56.067799475139104, 9, False
4, 3, 0.5, 85, 340, 425, 0.5196145850624047, 68.3518951136006, 0.5196145850624047, 4, False, 68.3518951136006, 8, False
4, 4, 0.5, 85, 340, 425, 0.755128698343965, 84.85598039806119, 0.755128698343965, 1, True, 84.85598039806119, 1, True
4, 5, 0.5, 85, 340, 425, 0.6722417306937892, 77.17394454255962, 0.6722417306937892, 2, False, 77.17394454255962, 2, False
4, 6, 0.5, 85, 340, 425, 0.527952610144391, 74.06329358883595, 0.527952610144391, 3, False, 74.06329358883595, 3, False
4, 7, 0.5, 85, 340, 425, 0.4272563348201575, 73.2217656601962, 0.4272563348201575, 5, False, 73.2217656601962, 4, False
4, 8, 0.5, 85, 340, 425, 0.35249750196082646, 69.29724768998068, 0.35249750196082646, 9, False, 69.29724768998068, 7, False
4, 9, 0.5, 85, 340, 425, 0.4118160683686054, 70.283056854548, 0.4118160683686054, 6, False, 70.283056854548, 6, False
4, 10, 0.5, 85, 340, 425, 0.36744886546106903, 71.74387498940906, 0.36744886546106903, 8, False, 71.74387498940906, 5, False
4, 2, 0.5, 90, 360, 450, 0.3677691168938687, 57.814805314530524, 0.3677691168938687, 8, False, 57.814805314530524, 9, False
4, 3, 0.5, 90, 360, 450, 0.5047267194833709, 70.63242610134583, 0.5047267194833709, 5, False, 70.63242610134583, 8, False
4, 4, 0.5, 90, 360, 450, 0.7412517656800507, 88.4087197149067, 0.7412517656800507, 1, True, 88.4087197149067, 1, True
4, 5, 0.5, 90, 360, 450, 0.6673270799171818, 79.99951007888383, 0.6673270799171818, 2, False, 79.99951007888383, 2, False
4, 6, 0.5, 90, 360, 450, 0.63492163503777, 78.5099582446256, 0.63492163503777, 3, False, 78.5099582446256, 3, False
4, 7, 0.5, 90, 360, 450, 0.5557863182808093, 76.25568962488597, 0.5557863182808093, 4, False, 76.25568962488597, 5, False
4, 8, 0.5, 90, 360, 450, 0.470405126363923, 75.2443161615408, 0.470405126363923, 6, False, 75.2443161615408, 6, False
4, 9, 0.5, 90, 360, 450, 0.40196281178911647, 74.68906344464823, 0.40196281178911647, 7, False, 74.68906344464823, 7, False
4, 10, 0.5, 90, 360, 450, 0.3558175297085358, 78.48776910043449, 0.3558175297085358, 9, False, 78.48776910043449, 4, False
4, 2, 0.5, 95, 380, 475, 0.3909910932092812, 56.16120851523253, 0.3909910932092812, 8, False, 56.16120851523253, 9, False
4, 3, 0.5, 95, 380, 475, 0.4676954519881047, 74.337506849552, 0.4676954519881047, 5, False, 74.337506849552, 8, False
4, 4, 0.5, 95, 380, 475, 0.7545251039334826, 92.97006388254759, 0.7545251039334826, 1, True, 92.97006388254759, 1, True
4, 5, 0.5, 95, 380, 475, 0.7140712155285454, 84.25242996567724, 0.7140712155285454, 2, False, 84.25242996567724, 2, False
4, 6, 0.5, 95, 380, 475, 0.5941044059242692, 82.11963267746415, 0.5941044059242692, 3, False, 82.11963267746415, 3, False
4, 7, 0.5, 95, 380, 475, 0.49509142546197255, 81.69867520392961, 0.49509142546197255, 4, False, 81.69867520392961, 4, False
4, 8, 0.5, 95, 380, 475, 0.3981420451461318, 78.738203995676, 0.3981420451461318, 7, False, 78.738203995676, 6, False
4, 9, 0.5, 95, 380, 475, 0.4077204292621565, 78.36222706451613, 0.4077204292621565, 6, False, 78.36222706451613, 7, False
4, 10, 0.5, 95, 380, 475, 0.35898047256860827, 80.48528785431813, 0.35898047256860827, 9, False, 80.48528785431813, 5, False
4, 2, 0.5, 100, 400, 500, 0.37910425735999415, 61.63686285745088, 0.37910425735999415, 8, False, 61.63686285745088, 9, False
4, 3, 0.5, 100, 400, 500, 0.5022019986246653, 78.38780306336194, 0.5022019986246653, 4, False, 78.38780306336194, 8, False
4, 4, 0.5, 100, 400, 500, 0.7420463032113518, 97.58906899245805, 0.7420463032113518, 1, True, 97.58906899245805, 1, True
4, 5, 0.5, 100, 400, 500, 0.6639464323080142, 90.41285797245722, 0.6639464323080142, 2, False, 90.41285797245722, 2, False
4, 6, 0.5, 100, 400, 500, 0.572454149451289, 88.32744931734601, 0.572454149451289, 3, False, 88.32744931734601, 3, False
4, 7, 0.5, 100, 400, 500, 0.49602311025517576, 86.53236972554285, 0.49602311025517576, 5, False, 86.53236972554285, 4, False
4, 8, 0.5, 100, 400, 500, 0.3935508544513999, 83.92789597954524, 0.3935508544513999, 7, False, 83.92789597954524, 7, False
4, 9, 0.5, 100, 400, 500, 0.4499007040982127, 84.79817924910405, 0.4499007040982127, 6, False, 84.79817924910405, 6, False
4, 10, 0.5, 100, 400, 500, 0.3468282997178389, 85.24226451427113, 0.3468282997178389, 9, False, 85.24226451427113, 5, False
4, 2, 0.75, 5, 20, 25, -0.19047619047619047, 5.8277592711037105, -0.19047619047619047, 3, False, 5.8277592711037105, 3, False
4, 3, 0.75, 5, 20, 25, -0.17647058823529413, 7.226227833716982, -0.17647058823529413, 2, False, 7.226227833716982, 2, False
4, 4, 0.75, 5, 20, 25, -0.11111111111111112, 39.58483473942838, -0.11111111111111112, 1, True, 39.58483473942838, 1, True
4, 2, 0.75, 10, 40, 50, 0.2105263157894737, 8.812174761826533, 0.2105263157894737, 3, False, 8.812174761826533, 8, False
4, 3, 0.75, 10, 40, 50, -0.016949152542372878, 10.831508161573758, -0.016949152542372878, 8, False, 10.831508161573758, 7, False
4, 4, 0.75, 10, 40, 50, 0.03076923076923078, 12.869292035210455, 0.03076923076923078, 7, False, 12.869292035210455, 6, False
4, 5, 0.75, 10, 40, 50, 0.08783783783783783, 14.46202311536161, 0.08783783783783783, 6, False, 14.46202311536161, 5, False
4, 6, 0.75, 10, 40, 50, 0.2436974789915966, 22.470861913958476, 0.2436974789915966, 2, False, 22.470861913958476, 4, False
4, 7, 0.75, 10, 40, 50, 0.2953020134228188, 50.427878504935, 0.2953020134228188, 1, False, 50.427878504935, 3, False
4, 8, 0.75, 10, 40, 50, 0.138755980861244, 103.0990250796828, 0.138755980861244, 5, False, 103.0990250796828, 2, False
4, 9, 0.75, 10, 40, 50, 0.19023136246786632, 842.8056919255906, 0.19023136246786632, 4, False, 842.8056919255906, 1, False
4, 2, 0.75, 15, 60, 75, 0.3023255813953489, 12.947689897085318, 0.3023255813953489, 5, False, 12.947689897085318, 9, False
4, 3, 0.75, 15, 60, 75, 0.20512820512820512, 14.004706201899236, 0.20512820512820512, 9, False, 14.004706201899236, 8, False
4, 4, 0.75, 15, 60, 75, 0.2937853107344633, 16.045785628512117, 0.2937853107344633, 6, False, 16.045785628512117, 7, False
4, 5, 0.75, 15, 60, 75, 0.3827160493827161, 17.432461284429234, 0.3827160493827161, 2, False, 17.432461284429234, 6, False
4, 6, 0.75, 15, 60, 75, 0.3137254901960784, 21.135794676475772, 0.3137254901960784, 4, False, 21.135794676475772, 5, False
4, 7, 0.75, 15, 60, 75, 0.39716312056737585, 23.420291029560612, 0.39716312056737585, 1, False, 23.420291029560612, 4, False
4, 8, 0.75, 15, 60, 75, 0.34782608695652173, 26.53605295898806, 0.34782608695652173, 3, False, 26.53605295898806, 3, False
4, 9, 0.75, 15, 60, 75, 0.28571428571428575, 35.388648715364944, 0.28571428571428575, 7, False, 35.388648715364944, 2, False
4, 10, 0.75, 15, 60, 75, 0.2276422764227642, 42.878718683385735, 0.2276422764227642, 8, False, 42.878718683385735, 1, False
4, 2, 0.75, 20, 80, 100, 0.2834285714285715, 16.960216800749052, 0.2834285714285715, 3, False, 16.960216800749052, 9, False
4, 3, 0.75, 20, 80, 100, 0.2191780821917808, 18.644439315907302, 0.2191780821917808, 6, False, 18.644439315907302, 8, False
4, 4, 0.75, 20, 80, 100, 0.5003984063745021, 19.75949351592052, 0.5003984063745021, 1, True, 19.75949351592052, 7, False
4, 5, 0.75, 20, 80, 100, 0.340160284951024, 21.546061134087644, 0.340160284951024, 2, False, 21.546061134087644, 6, False
4, 6, 0.75, 20, 80, 100, 0.2734225621414914, 22.965996799938022, 0.2734225621414914, 4, False, 22.965996799938022, 5, False
4, 7, 0.75, 20, 80, 100, 0.2578125, 23.162074342285983, 0.2578125, 5, False, 23.162074342285983, 4, False
4, 8, 0.75, 20, 80, 100, 0.20359281437125748, 25.857892284873028, 0.20359281437125748, 7, False, 25.857892284873028, 3, False
4, 9, 0.75, 20, 80, 100, 0.16701461377870566, 27.766277912433033, 0.16701461377870566, 8, False, 27.766277912433033, 2, False
4, 10, 0.75, 20, 80, 100, 0.14798206278026907, 33.80677933679477, 0.14798206278026907, 9, False, 33.80677933679477, 1, False
4, 2, 0.75, 25, 100, 125, 0.1001564945226917, 13.578004685653214, 0.1001564945226917, 9, False, 13.578004685653214, 9, False
4, 3, 0.75, 25, 100, 125, 0.21509686038744155, 20.850580145915682, 0.21509686038744155, 3, False, 20.850580145915682, 8, False
4, 4, 0.75, 25, 100, 125, 0.20577617328519854, 22.13965893065591, 0.20577617328519854, 4, False, 22.13965893065591, 7, False
4, 5, 0.75, 25, 100, 125, 0.22851562499999997, 22.99021757303192, 0.22851562499999997, 1, False, 22.99021757303192, 6, False
